1435,Skövde kommun
1442,Smedjebacken kommun
1449,Sollefteå kommun
1456,Sollentuna kommun
1463,Solna kommun
1470,Sorsele kommun
1477,Sotenäs kommun
1484,Staffanstorp kommun
1491,Stenungsund kommun
1498,Stockholm kommun
1505,"Stockholm kommun, Bromma stadsdel"
1512,"Stockholm kommun, Enskede - Årsta - Vantör stadsdel"
1519,"Stockholm kommun, Farsta stadsdel"
1526,"Stockholm kommun, Hägersten-Liljeholmen stadsdel"
1533,"Stockholm kommun, Hässelby - Vällingby stadsdel"
1540,"Stockholm kommun, Kungsholmen stadsdel"
1547,"Stockholm kommun, Norrmalm  stadsdel"
1554,"Stockholm kommun, Rinkeby-Kista stadsdel"
1561,"Stockholm kommun, Skarpnäck stadsdel"
1568,"Stockholm kommun, Skärholmen stadsdel"
1575,"Stockholm kommun, Spånga - Tensta stadsdel"
1582,"Stockholm kommun, Södermalm stadsdel"
1589,"Stockholm kommun, Älvsjö stadsdel"
1596,"Stockholm kommun, Östermalm stadsdel"
1603,Storfors kommun
1610,Storuman kommun
1617,Strängnäs kommun
1624,Strömstad kommun
1631,Strömsund kommun
1638,Sundbyberg kommun
1645,Sundsvall kommun
1652,Sunne kommun
1659,Surahammar kommun
1666,Svalöv kommun
1673,Svedala kommun
1680,Svenljunga kommun
1687,Säffle kommun
1694,Säter kommun
1701,Sävsjö kommun
1708,Söderhamn kommun
1715,Söderköping kommun
1722,Södertälje kommun
1729,Sölvesborg kommun
1736,Tanum kommun
1743,Tibro kommun
1750,Tidaholm kommun
1757,Tierp kommun
1764,Timrå kommun
1771,Tingsryd kommun
1778,Tjörn kommun
1785,Tomelilla kommun
1792,Torsby kommun
1799,Torsås kommun
1806,Tranemo kommun
1813,Tranås kommun
1820,Trelleborg kommun
1827,Trollhättan kommun
1834,Trosa kommun
1841,Tyresö kommun
1848,Täby kommun
1855,Töreboda kommun
1862,Uddevalla kommun
1869,Ulricehamn kommun
1876,Umeå kommun
1883,Upplands Väsby kommun
1890,Upplands-Bro kommun
1897,Uppsala kommun
1904,Uppvidinge kommun
1911,Vadstena kommun
1918,Vaggeryd kommun
1925,Valdemarsvik kommun
1932,Vallentuna kommun
1939,Vansbro kommun
1946,Vara kommun
1953,Varberg kommun
1960,Vaxholm kommun
1967,Vellinge kommun
1974,Vetlanda kommun
1981,Vilhelmina kommun
1988,Vimmerby kommun
1995,Vindeln kommun
2002,Vingåker kommun
2009,Vänersborg kommun
2016,Vännäs kommun
2023,Värmdö kommun
2030,Värnamo kommun
2037,Västervik kommun
2044,Västerås kommun
2051,Växjö kommun
2058,Vårgårda kommun
2065,Ydre kommun
2072,Ystad kommun
2079,Älmhult kommun
2086,Älvdalen kommun
2093,Älvkarleby kommun
2100,Älvsbyn kommun
2107,Ängelholm kommun
2114,Åmål kommun
2121,Ånge kommun
2128,Åre kommun
2135,Årjäng kommun
2142,Åsele kommun
2149,Åstorp kommun
2156,Åtvidaberg kommun
2163,Öckerö kommun
2170,Ödeshög kommun
2177,Örebro kommun
2184,Örkelljunga kommun
2191,Örnsköldsvik kommun
2198,Östersund kommun
2205,Österåker kommun
2212,Östhammar kommun
2219,Östra Göinge kommun
2226,Överkalix kommun
2233,Övertorneå kommun
